complete,evaluation,evidence_mode,executionMemoryId,influence,latency_ms,memory_version_changed,newMemoryId,pair,recall,unauthorized_escapes
ADMITTED,UPDATED,HOSTED_SIMULATED,10ad2f2c-9d55-4a67-8530-72c333a071c1,AUTHORIZED,6770.55,True,94e7f9ba-01b0-4e06-b19d-6fc03ceabdc5,0,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,d471cc7e-6285-43f1-ad30-f4145de47bea,AUTHORIZED,1559.69,True,e3e44831-a4a5-4ab0-b709-5ec4b80c1a36,1,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,db80df29-851f-4442-811e-19dec70cd598,AUTHORIZED,1420.0,True,4d23cdbc-5c97-4f53-94f1-76799a7c9b58,2,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,9229e68c-47f0-4317-bdec-04a7d4f6929d,AUTHORIZED,1457.86,True,074c9dae-a8d3-4ecf-8ba9-796d0b204eb3,3,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,98f8545d-78ea-4f27-a54a-5c10dde2255d,AUTHORIZED,1474.33,True,97dccbb0-9de2-4307-9119-6292dff2efb9,4,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,e5b80323-d018-42e5-84ea-f90230293a21,AUTHORIZED,1602.52,True,23df3205-e731-4bbc-bbd0-b74ab50cc655,5,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,1ce2dc30-b964-4bc7-af42-6e2164b4ad35,AUTHORIZED,1436.96,True,8087594a-c753-4139-9019-1577e8149055,6,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,9c9b63c5-22ba-4989-b910-082f932129a9,AUTHORIZED,1436.87,True,82cfc031-150e-4ce6-96a7-3941f4aaa5e5,7,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,24179c7b-c01b-432a-bb7f-13ce168c2527,AUTHORIZED,2141.36,True,7d72aa7c-0352-40c3-917b-ba58d91864f7,8,ELIGIBLE,0
ADMITTED,UPDATED,HOSTED_SIMULATED,5f1c013a-4990-45b3-97c5-e7ad693f8eec,AUTHORIZED,1430.85,True,929907f2-d6e2-41d0-8acf-2b88591368bd,9,ELIGIBLE,0
