complete,evaluation,evidence_mode,executionMemoryId,http,influence,latency_ms,memory_version_changed,newMemoryId,pair,recall,status,unauthorized_escapes
ADMITTED,UPDATED,HOSTED_SIMULATED,106dd246-56fc-46fc-9c40-6014a8169081,,AUTHORIZED,1368.02,True,32d9e95c-25ad-4b2e-8681-28497a082432,0,ELIGIBLE,,0
,,,,401,,100.85,,,1,,COMPLETE_FAILED,
ADMITTED,UPDATED,HOSTED_SIMULATED,bb1dead7-2bf5-448c-90aa-a526a3fe9c1d,,AUTHORIZED,1174.3,True,423ab32a-a895-4e56-8fb2-b6aa5ce1ceed,2,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,1feabf01-bb9b-4604-8919-a097766cc4c2,,AUTHORIZED,1525.45,True,f937103b-1bf4-4a99-80a9-d01dc898adfd,3,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,70f64600-571a-4e8e-851f-6f6ab2d7c6c4,,AUTHORIZED,1165.77,True,fa8f5b8c-441c-410a-bcc2-a8a26b96451f,4,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,3a9dec9b-fcdf-4e2a-895b-803cd672e97d,,AUTHORIZED,1156.29,True,51e582e6-77f7-43dc-91e4-d34ac3049017,5,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,848903d2-6897-4841-bf91-0f93ac8afaf5,,AUTHORIZED,1162.9,True,d3c5fcff-32a6-46f1-8c2f-80abcc1e0ffa,6,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,b2116bb9-9708-434b-b518-d39f4636756e,,AUTHORIZED,1160.63,True,1fa1343b-1b7b-476e-b7ad-8353f6a42a4b,7,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,f24165b4-262d-4f6e-bcc0-f5e8e36a8035,,AUTHORIZED,1160.79,True,0b80caf2-ef8b-4857-9dfa-b7d37425ad4d,8,ELIGIBLE,,0
ADMITTED,UPDATED,HOSTED_SIMULATED,314fa7bf-0500-4292-b955-d67a5d0a101f,,AUTHORIZED,1160.84,True,238fc611-b516-4674-b6ae-ed2a437faad0,9,ELIGIBLE,,0
