run_id,domain,arm,model,seed,utility,outcome,success,influenced,memory_version,update_directive,evidence_state,unauthorizedAttempts,unauthorizedEscapes,tested_sha,dataset_sha
tool-1,tool,A0_NO_MEMORY,deterministic-local,1,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-1,tool,A1_RAW_HISTORY,deterministic-local,1,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-1,tool,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,1,0.9,SUCCESS,True,True,d612ef81-8a02-4b61-a2c6-6da7e7c347bc,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-1,tool,A3_IRRELEVANT_MEMORY,deterministic-local,1,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-1,tool,A4_STALE_OR_CONTRADICTORY,deterministic-local,1,0.0,NEUTRAL,False,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-1,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,1,0.92,SUCCESS,True,True,39262fdf-b4d5-4bb8-99f7-0411f4c553bd,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-1,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,1,0.9,SUCCESS,True,True,c467c6fa-8c01-49fe-8987-7c325466fb97,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-1,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,1,0.92,SUCCESS,True,True,616e0164-451f-42aa-a92a-75d44b84e54d,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-2,tool,A0_NO_MEMORY,deterministic-local,2,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-2,tool,A1_RAW_HISTORY,deterministic-local,2,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
