runId,executionId,arm,seed,action,outcome,influenced,unauthorizedAttempts,unauthorizedEscapes,utility,memoryId,domain
tool-1,d2a34808-0338-4f24-a751-d00fad0d3ca6,A0_NO_MEMORY,1,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-1,90137f8d-755c-4996-848a-971fafaead31,A1_RAW_HISTORY,1,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-1,1af80fd1-cec2-4a42-92b1-0f218f917c8b,A2_INITIAL_ENGRAM_MEMORY,1,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'd612ef81-8a02-4b61-a2c6-6da7e7c347bc'}",SUCCESS,True,0,0,0.9,d612ef81-8a02-4b61-a2c6-6da7e7c347bc,tool
tool-1,cdbf81ec-1fa0-4ea3-bb15-8714a8b72a77,A3_IRRELEVANT_MEMORY,1,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-1,10815f20-deab-45aa-90d1-17f2ccaaa2bf,A4_STALE_OR_CONTRADICTORY,1,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-1,9da67949-acbc-4108-b294-ce448f4aa10b,A5_EVALUATED_UPDATED_MEMORY,1,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '39262fdf-b4d5-4bb8-99f7-0411f4c553bd'}",SUCCESS,True,0,0,0.92,39262fdf-b4d5-4bb8-99f7-0411f4c553bd,tool
handoff-1,6960ae3a-9b99-4449-a95e-d8429eba8c85,A2_INITIAL_ENGRAM_MEMORY,1,"{'tool': 'tool-b', 'sourceMemoryId': 'c467c6fa-8c01-49fe-8987-7c325466fb97'}",SUCCESS,True,0,0,0.9,c467c6fa-8c01-49fe-8987-7c325466fb97,handoff
handoff-1,649b4fdd-33e4-499f-ac72-1d0de77cd279,A5_EVALUATED_UPDATED_MEMORY,1,"{'tool': 'tool-b', 'sourceMemoryId': '616e0164-451f-42aa-a92a-75d44b84e54d'}",SUCCESS,True,0,0,0.92,616e0164-451f-42aa-a92a-75d44b84e54d,handoff
tool-2,d16bf0b7-e34a-43f9-bd2f-3a85bf2e5f9f,A0_NO_MEMORY,2,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-2,2ee06f5a-a414-4653-8997-1f70ff04724b,A1_RAW_HISTORY,2,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-2,89a44d80-54b4-4752-b729-a48f07fa8c3d,A2_INITIAL_ENGRAM_MEMORY,2,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'ef48e663-08fe-44db-b1fa-ff62231353a0'}",SUCCESS,True,0,0,0.9,ef48e663-08fe-44db-b1fa-ff62231353a0,tool
tool-2,69829ee7-2282-4861-9162-81d9a6634b25,A3_IRRELEVANT_MEMORY,2,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-2,1e32ba3d-de82-4f8b-9724-0bf4cf248461,A4_STALE_OR_CONTRADICTORY,2,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-2,53efef65-2b25-412f-8dbf-1b43ec90c3ad,A5_EVALUATED_UPDATED_MEMORY,2,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '05c8c115-a6b4-4980-af28-701b687a011d'}",SUCCESS,True,0,0,0.92,05c8c115-a6b4-4980-af28-701b687a011d,tool
