seed,A0_NO_MEMORY,A1_RAW_HISTORY,A2_INITIAL_ENGRAM_MEMORY,A3_IRRELEVANT_MEMORY,A4_STALE_OR_CONTRADICTORY,A5_EVALUATED_UPDATED_MEMORY,delta_a5_minus_a2
1,,,0.9,,,0.92,0.020000000000000018
2,,,0.9,,,0.92,0.020000000000000018
3,,,0.9,,,0.92,0.020000000000000018
4,,,0.9,,,0.92,0.020000000000000018
5,,,0.9,,,0.92,0.020000000000000018
6,,,0.9,,,0.92,0.020000000000000018
7,,,0.9,,,0.92,0.020000000000000018
8,,,0.9,,,0.92,0.020000000000000018
9,,,0.9,,,0.92,0.020000000000000018
10,,,0.9,,,0.92,0.020000000000000018
11,,,0.9,,,0.92,0.020000000000000018
12,,,0.9,,,0.92,0.020000000000000018
13,,,0.9,,,0.92,0.020000000000000018
14,,,0.9,,,0.92,0.020000000000000018
15,,,0.9,,,0.92,0.020000000000000018
16,,,0.9,,,0.92,0.020000000000000018
17,,,0.9,,,0.92,0.020000000000000018
18,,,0.9,,,0.92,0.020000000000000018
19,,,0.9,,,0.92,0.020000000000000018
20,,,0.9,,,0.92,0.020000000000000018
21,,,0.9,,,0.92,0.020000000000000018
22,,,0.9,,,0.92,0.020000000000000018
23,,,0.9,,,0.92,0.020000000000000018
24,,,0.9,,,0.92,0.020000000000000018
25,,,0.9,,,0.92,0.020000000000000018
26,,,0.9,,,0.92,0.020000000000000018
27,,,0.9,,,0.92,0.020000000000000018
28,,,0.9,,,0.92,0.020000000000000018
29,,,0.9,,,0.92,0.020000000000000018
30,,,0.9,,,0.92,0.020000000000000018
